"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBL",0.762343406044887,-0.0176306531408623,2.66541575521894,0.00768934106061783,0.0394324449341246,-2.82389826356123
"UBIAD1",0.762297847089707,-0.016257307622829,2.66525646538188,0.00769298449708852,0.0394324449341246,-2.82430716459252
"DARS2",0.762264279846878,-0.028978706776544,2.66513910271148,0.00769566992333089,0.0394324449341246,-2.82460842189347
"CXCR6",0.761989428708666,-0.00378362806700736,2.66417812823683,0.00771769001952873,0.0395273247800012,-2.82707464057837
"RHEBL1",0.761540558519382,-0.0211850238327464,2.66260872307758,0.00775377333146727,0.0396875219704576,-2.83110040682284
"TBX21",0.761512878769283,-0.00502228094187796,2.66251194511449,0.00775600336301152,0.0396875219704576,-2.83134857957081
"NRP1",0.761440413804288,-0.0107204886026203,2.66225858257751,0.00776184425758267,0.039699405602133,-2.83199824753918
"SEC14L4",0.761353178319686,-0.00327708112005145,2.66195357720431,0.00776888092870162,0.0397066881585231,-2.83278025519039
"ANXA2",0.761335514620449,-0.0244871573431893,2.66189181881319,0.00777030643038368,0.0397066881585231,-2.83293858750759
"GOT2",0.761134666592342,0.00506186173347109,2.66118958476187,0.00778653182532393,0.0397715883137754,-2.83473867308088
"ITSN1",0.76108068735257,-0.00906939148655539,2.66100085470268,0.00779089768028239,0.0397758816862562,-2.83522237704389
"ZNF326",0.760791134144264,-0.0197678105413925,2.65998847671492,0.00781435427750483,0.0398775935382574,-2.83781645630022
"RBBP7",0.76056014212912,-0.00658333626676019,2.65918084887737,0.00783311220387928,0.0399552463817224,-2.83988518364185
"OTUB2",0.760490261660726,-0.00634956787352064,2.65893652263285,0.00783879485595433,0.0399661646451571,-2.84051089810935
"POU2F1",0.760388893396868,-0.0239206582254323,2.65858210418386,0.0078470446474966,0.0399901557171202,-2.84141845424987
"LILRB5",0.760340315831399,0.00937771372615525,2.65841226024303,0.00785100085775905,0.0399922540307428,-2.84185332922516
"TIMM8A",0.760088196925082,-0.0277907663260399,2.65753076549963,0.00787156241380147,0.0400788983370587,-2.84410989607336
"PBX4",0.760017263794697,-0.0217485271639903,2.65728275878534,0.00787735605314676,0.0400903059754871,-2.84474464157112
"BAIAP2L1",0.759623536721808,-0.0196156962969535,2.6559061529998,0.00790958418602689,0.0402361760013261,-2.84826683341523
"ATP9B",0.759473958201169,0.00648946794956832,2.65538317484797,0.00792185870674834,0.0402804559658592,-2.84960445006166
"TMEM39A",0.759069805457556,-0.0132620317078984,2.65397011731799,0.00795510913711147,0.0404313046819949,-2.85321729754017
"F2R",0.758969311339638,-0.0205319717786556,2.65361875518502,0.00796339636185327,0.0404552008783388,-2.85411534727462
"FTL",0.758774228921023,-0.017349102859694,2.65293667969513,0.00797950586393134,0.0404993215003824,-2.85585833090383
