"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VIL1",0.52277026068884,-0.0390759746030303,2.13839165981113,0.0324850110460786,0.0544440847610064,-4.46157311893564
"GLI1",0.522758600512093,-0.0160347295680685,2.13834396386019,0.0324888790832098,0.0544440847610064,-4.46167364056672
"F11R",0.522735950506418,-0.026172608080678,2.13825131401594,0.0324963939101491,0.0544485911030907,-4.4618688983958
"ZCCHC13",0.522712520988118,-0.00500802262826826,2.13815547557544,0.0325041689307095,0.0544524679653091,-4.46207086723032
"ZNF425",-0.522699893909681,0.0102662557336079,-2.1381038245133,0.0325083598523728,0.0544524679653091,-4.46217971233444
"FBXW8",-0.522680256711113,-0.0272189926411027,-2.138023498556,0.0325148783493911,0.0544553024218762,-4.46234897927665
"MAP2K3",0.52258151014846,-0.0235835153016698,2.13761957575876,0.0325476738865102,0.0545021377948196,-4.46320004954644
"IGFBP6",0.522467970329089,0.0182586204365925,2.1371551411475,0.0325854175483949,0.05455724383418,-4.46417842020626
"BTRC",-0.522447593048315,-0.0110689979944019,-2.13707178788406,0.0325921954658778,0.0545604957628336,-4.46435398838132
"CTRB2",0.522346733116109,0.00143681589199584,2.13665922034903,0.0326257614092676,0.0546085841834692,-4.46522288447539
"SLC25A24",0.522313328322874,-0.0210346086530222,2.13652257804815,0.0326368849689372,0.0546191001341618,-4.46551062573934
"INCA1",0.522195508824756,-0.0270480764690745,2.13604063741173,0.0326761439620238,0.0546766917282388,-4.4665253490907
"USHBP1",0.522120869016494,0.00754210253164164,2.13573532328911,0.0327010358397084,0.0547102294453484,-4.46716806784361
"SMARCC2",0.52201302252442,-0.0100585956127126,2.13529417723216,0.0327370306055297,0.0547623300700062,-4.46809656501214
"VPS13A",0.521971671226817,-0.0112680420171823,2.13512502975656,0.0327508409797311,0.0547773108174187,-4.46845252537531
"TP53I11",0.521636456371391,-0.0351678165538353,2.13375383344913,0.0328629792204581,0.0549567206972623,-4.47133708205464
"GNAI1",-0.521370654031137,0.0124701658800734,-2.13266656902286,0.032952130662927,0.0550976423043577,-4.4736230200016
"IMPA1",0.521217521922259,-0.0212852549909659,2.13204018215831,0.0330035858813013,0.0551755014815117,-4.47493944895739
"AKAP13",0.521028616258653,-0.00705912786298804,2.13126746357441,0.0330671564185364,0.055273589017829,-4.47656287923307
"ALG10",0.52089408253486,-0.0174054337723748,2.13071715340079,0.0331124935834898,0.0553349829133124,-4.47771868546114
"LGALS9",0.520890523810124,-0.0135366087845746,2.13070259643788,0.0331136935771235,0.0553349829133124,-4.47774925512761
"SULT1E1",0.520824873334612,-0.0209573174170006,2.1304340531793,0.033135837441122,0.0553637870351221,-4.47831315932465
"HAO1",0.520696809066091,-0.0101534044960125,2.12991020631133,0.0331790699140514,0.0554278125318687,-4.4794129617076
"ZNF415",-0.520595578684174,0.0225802784113166,-2.12949612345183,0.0332132778425212,0.0554767452105354,-4.48028212612092
"RPE65",0.520569839580818,0.00404317853782605,2.12939083765406,0.0332219804516034,0.0554830677080285,-4.48050309520535
"GIPR",0.520248733249691,-0.00579733899703764,2.12807735226281,0.0333307133522739,0.0556536629474524,-4.48325886077258
"RPL12",0.520239058916431,-0.0163174061081206,2.1280377794043,0.0333339939908609,0.0556536629474524,-4.48334186044924
"ZDHHC2",-0.520169189358588,0.00683300665833323,-2.12775197799018,0.0333576954833868,0.0556849945463905,-4.48394125135463
"JPH4",0.52011302423474,0.00599324734801857,2.12752223456091,0.0333767585436468,0.0557085749479241,-4.48442301748174
"OSBPL2",0.519773838320042,-0.0097191900582012,2.12613479463623,0.0334920801920689,0.0558927881684829,-4.48733133800661
"PRKCSH",0.519758294303521,-0.0249299057238073,2.12607121183938,0.0334973732442746,0.0558933543796437,-4.48746457337741
"BASP1",0.519397425792248,0.0103134346306629,2.1245950792572,0.0336204575775123,0.0560904366179316,-4.49055663391487
"MORN3",-0.519261233624056,0.0105420435514684,-2.12403798521706,0.0336670101767183,0.056159798318142,-4.49172302273358
"TSPAN1",0.519201830077292,-0.00957395294570362,2.12379499501942,0.0336873324925113,0.0561853913544722,-4.49223167595285
"CTNND2",0.519040201631995,0.00878165252242614,2.12313385389224,0.033742679683267,0.056264899071291,-4.49361535310493
"GCDH",0.519033498659948,-0.00256499663407564,2.12310643538625,0.0337449766919637,0.056264899071291,-4.49367272695104
"ANKRD33",0.518908942731041,-0.0160009858774866,2.12259693938087,0.0337876844890141,0.0563277842921906,-4.49473872409985
"ZNF384",0.518880511566695,-0.017483068337638,2.12248064170809,0.0337974394569682,0.0563357230599752,-4.49498201298404
"ARRB1",-0.518837973847899,-0.00213434777137048,-2.1223066411768,0.033812038997665,0.0563515393533251,-4.49534598845498
"ACAT1",-0.518823765034685,0.0174032192757995,-2.12224852002884,0.0338169168626575,0.0563515393533251,-4.49546756001125
"FYCO1",-0.518666551031977,0.00527679784850668,-2.12160543617829,0.0338709283756384,0.0564332080422812,-4.49681247131684
"PRM2",-0.518431494946895,-0.0012888244409404,-2.12064393930342,0.0339518204276089,0.0565596323467756,-4.49882253437583
"TCF7L2",0.518314287849915,-0.0154311902203928,2.12016450369374,0.0339922176768777,0.0566185698329216,-4.4998244809262
"MRPL38",0.518158084785905,-0.0225092585197668,2.11952555508776,0.0340461193598189,0.0566999800349575,-4.50115943291445
"FNDC5",-0.51809176978738,0.0356815469248392,-2.11925429359791,0.0340690250541565,0.0567297534955797,-4.50172605645635
