"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EME1",1.94135622230393,-0.0181712642050959,14.4962313362387,1.28236059239464e-47,3.80759856947073e-45,97.298547399909
"HMMR",1.93995009428743,-0.0237709822799424,14.4857316882188,1.49416124338655e-47,4.32272341259755e-45,97.1472006667816
"RAD51AP1",1.9301803789184,-0.0231890357098234,14.4127805974032,4.30861666875006e-47,1.21535304683767e-44,96.0986780849196
"TEAD4",1.92846339624651,-0.032938182304817,14.3999597777483,5.18719557580439e-47,1.39967375562178e-44,95.9149519792627
"MARCKSL1",1.9284224977623,-0.0318795229163644,14.3996543861455,5.21016553541742e-47,1.39967375562178e-44,95.9105776217633
"CDCA2",1.92626422552609,-0.0261635530432909,14.383538429031,6.57744779349057e-47,1.72589170823149e-44,95.679868066219
"KIF11",1.92512852762713,-0.0240983411401162,14.375058100031,7.43477068163526e-47,1.90651176365661e-44,95.558570831054
"ZWILCH",1.9235845680685,-0.0255441474709951,14.3635292550521,8.78124171237753e-47,2.20175000535012e-44,95.3937842934748
"SOX9",1.9223537875264,-0.0263464666821673,14.3543389378617,1.00262853658751e-46,2.42739676497758e-44,95.2625180034161
"RUNX1",1.92227523489125,-0.0255782395234338,14.3537523803005,1.01114639682661e-46,2.42739676497758e-44,95.254142990816
