"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GHITM",0.231645885727483,-0.00237009134332558,1.72971467524305,0.0836813193691186,0.0998811304815155,-5.72890369328757
"IGFALS",-0.231444602956599,0.0206205595250904,-1.72821168389236,0.0839503337172697,0.100191624215354,-5.73148858726128
"KIF5A",-0.231195377765453,0.00151330921816526,-1.72635070341687,0.0842843927166781,0.100579672450796,-5.7346860490964
"ADRA1D",-0.231164132493886,0.0107354774716603,-1.72611739297153,0.084326349356146,0.100619098962077,-5.73508667070388
"ENAH",0.231050787610411,0.00630163582852515,1.72527103946218,0.084478692523809,0.100790217589736,-5.73653950522622
"HYAL3",0.230903029441886,-0.00271218132559728,1.72416771974778,0.0846776237558782,0.101016877652524,-5.73843237322842
"FAM106A",0.230831729360924,0.00781410797428051,1.72363531747351,0.0847737526452358,0.101120863843556,-5.73934533556693
"SRGAP3",0.230803831270782,0.0113592311147142,1.72342700064639,0.0848113896988349,0.101155064479065,-5.73970248009424
"PRKAB2",0.230594138563251,-0.0153733057568461,1.72186121175975,0.0850947169597953,0.101482263128355,-5.74238553325131
"GAS2L1",0.230533398734673,-0.0107384658355251,1.72140766356686,0.0851769286665272,0.101569571564619,-5.74316225397064
"PLCE1",0.230512032297363,-0.0171617845458549,1.72124811901006,0.0852058635269714,0.101593338071945,-5.74343543221268
"PCDH20",-0.23044283649039,0.0102846009843659,-1.72073142948454,0.085299624435119,0.101694385302351,-5.74431995383851
"NR2F1",-0.230387615729668,0.00858667611837778,-1.72031909252504,0.085374508868194,0.101772908986776,-5.745025643615
"IGSF1",-0.230366823717836,0.00336468794700995,-1.7201638372401,0.0854027185188893,0.101795782067254,-5.74529130982034
"TOM1",0.230282535247933,-0.0162360409060722,1.71953444983317,0.0855171544597432,0.101921416897569,-5.74636804502222
"CAMK2A",-0.230091227176093,0.00263633090658923,-1.71810594019953,0.0857773476584898,0.102220723873124,-5.74881043005244
"AMPH",-0.230074553924566,0.00538931411832822,-1.71798143996177,0.0858000547957717,0.102233885711373,-5.74902319735751
"DAZ1",-0.230069811738218,0.0125178934719019,-1.71794602975238,0.0858065140199148,0.102233885711373,-5.74908370956481
"HTRA2",0.230050963214089,0.00345085794524507,1.71780528661468,0.0858321910507388,0.102253680881162,-5.74932421199159
"CEBPA",0.229794142618108,-0.021249268694997,1.71588759076449,0.0861826725227374,0.102660377330452,-5.75259921488916
"MTSS1",-0.229785957273882,0.00328415846793387,-1.71582647027454,0.0861938619933455,0.102662867610146,-5.7527035350946
"TNFRSF19",0.229747924773879,-0.00494508440487663,1.71554247915946,0.0862458683043093,0.102713967920363,-5.7531882012375
"ZNF585B",0.229521723485836,-0.00568609765964012,1.71385341964408,0.086555703825383,0.103072085093593,-5.7560691337793
"TAPBPL",0.229416175546325,0.00037318057418354,1.71306528641503,0.0867005836270416,0.103233715181924,-5.75741243668184
"INPP1",0.229405468722751,-0.0218050564636159,1.71298533787719,0.0867152912218599,0.103240332474016,-5.75754866732717
"EPM2AIP1",0.22933792092719,0.0012222848019572,1.7124809541585,0.0868081257512082,0.103339953877493,-5.7584079801056
"CPXM2",-0.229200804833308,0.0095635268832034,-1.71145709949752,0.0869968184379651,0.10355365570583,-5.76015153137735
"TEKT4",0.229168580298396,-0.0020181626279894,1.71121647683002,0.0870412123319631,0.103595569487504,-5.76056114324558
"HK1",-0.228989387478135,0.01332060317876,-1.7098784325564,0.0872884096553726,0.103878823556752,-5.76283784487818
"SYTL4",-0.228938057658789,-0.00123833353041146,-1.70949514950555,0.0873593236659226,0.103952251521051,-5.76348967838222
